Park Name,Type of Unit,State,Reg,Alpha
Sunset Crater Volcano,National Monument,AZ,IMR,SUCR
Tallgrass Prairie,National Preserve,KS,MWR,TAPR
Theodore Roosevelt Island,Park,VA,NCR,THIS
Thomas Jefferson,Memorial,DC,NCR,THJE
Thaddeus Kosciuszko,National Memorial,PA,NER,THKO
Theodore Roosevelt Birthplace,National Historic Site,NY,NER,THRB
Theodore Roosevelt Inaugural,National Historic Site,NY,NER,THRI
Theodore Roosevelt,National Park,ND,MWR,THRO
Thomas Stone,National Historic Site,MD,NER,THST
Timpanogos Cave,National Monument,UT,IMR,TICA
Timucuan,Ecological & Historic Preserve,FL,SER,TIMU
Tonto,National Monument,AZ,IMR,TONT
Tuskegee Airmen,National Historic Site,AL,SER,TUAI
Tuskegee Institute,National Historic Site,AL,SER,TUIN
Tumacácori,National Historical Park,AZ,IMR,TUMA
Tupelo,National Battlefield,MS,SER,TUPE
Tuzigoot,National Monument,AZ,IMR,TUZI
Ulysses S Grant,National Historic Site,MO,MWR,ULSG
Upper Delaware,Scenic & Recreational River,"NY,PA",NER,UPDE
Upper Delaware ,National Scenic River,PA. NY,,UPDE
Valley Forge,National Historical Park,PA,NER,VAFO
World War II Valor in the Pacific,National Monument,HI,PWR,VALR
Vanderbilt Mansion,National Historic Site,NY,NER,VAMA
Vicksburg,National Military Park,MS,SER,VICK
Virgin Islands Coral Reef,National Monument,VI,SER,VICR
Virgin Islands,National Park,VI,SER,VIIS
Vietnam Veterans,Memorial,DC,NCR,VIVE
Voyageurs,National Park,MN,MWR,VOYA
Washita Battlefield,National Historic Site,OK,IMR,WABA
Walnut Canyon,National Monument,AZ,IMR,WACA
War In The Pacific,National Historical Park,GU,PWR,WAPA
Washington,Monument,DC,NCR,WASH
Weir Farm,National Historic Site,CT,NER,WEFA
President's Park (White House),,DC,NCR,WHHO
Whiskeytown,National Recreation Area,CA,PWR,WHIS
Whitman Mission,National Historic Site,WA,PWR,WHMI
White Sands,National Monument,NM,IMR,WHSA
Wind Cave,National Park,SD,MWR,WICA
President William Jefferson Clinton Birthplace Home,National Historic Site,AR,MWR,WICL
Wilson's Creek,National Battlefield,MO,MWR,WICR
William Howard Taft,National Historic Site,OH,MWR,WIHO
Women's Rights,National Historical Park,NY,NER,WORI
Wolf Trap National Park for the Performing Arts,,VA,NCR,WOTR
Wright Brothers,National Memorial,NC,SER,WRBR
Wrangell - St Elias,National Park & Preserve,AK,AKR,WRST
Wupatki,National Monument,AZ,IMR,WUPA
Yellowstone,National Park,"ID,MT,WY",IMR,YELL
Yosemite,National Park,CA,PWR,YOSE
Yukon - Charley Rivers,National Preserve,AK,AKR,YUCH
Yucca House,National Monument,CO,IMR,YUHO
Zion,National Park,UT,IMR,ZION
